n,energy
100000000000225,10005475.07615175
100000000000226,10005477.61318731
100000000000227,10005480.05175344
100000000000228,10005478.73667772
100000000000229,10005480.05641528
100000000000230,10005477.07940724
100000000000231,10005482.04503386
100000000000232,10005482.90767643
100000000000233,10005486.79235948
100000000000234,10005487.37284711
100000000000235,10005488.01769743
100000000000236,10005484.63045017
100000000000237,10005491.22939634
100000000000238,10005491.24196032
100000000000239,10005489.74141062
100000000000240,10005486.56637273
100000000000241,10005489.14820030
100000000000242,10005487.92807036
100000000000243,10005492.32519871
100000000000244,10005490.70535296
100000000000245,10005492.60066259
100000000000246,10005492.12586962
100000000000247,10005490.22149878
100000000000248,10005481.16050481
100000000000249,10005481.31688683
100000000000250,10005478.42842235
100000000000251,10005478.80012144
100000000000252,10005478.81729641
100000000000253,10005481.69524590
100000000000254,10005477.35561419
100000000000255,10005477.99835010
100000000000256,10005474.02515481
100000000000257,10005474.28733300
100000000000258,10005471.83633881
100000000000259,10005468.77058205
100000000000260,10005461.40148079
100000000000261,10005465.55169713
100000000000262,10005465.54427163
100000000000263,10005465.41921858
100000000000264,10005463.60142278
100000000000265,10005467.42529344
100000000000266,10005467.91489515
100000000000267,10005473.90179602
100000000000268,10005472.04876369
100000000000269,10005471.47969602
100000000000270,10005468.70683504
100000000000271,10005467.87990854
100000000000272,10005463.71150973
100000000000273,10005469.40912549
100000000000274,10005469.04687290
100000000000275,10005468.25374524
100000000000276,10005465.73885922
100000000000277,10005467.15312373
100000000000278,10005462.99788965
100000000000279,10005465.05044300
100000000000280,10005463.84133103
100000000000281,10005468.52317440
100000000000282,10005471.05300033
100000000000283,10005471.15675728
100000000000284,10005463.83296572
100000000000285,10005466.24659440
100000000000286,10005465.14544261
100000000000287,10005465.08441674
100000000000288,10005462.56545684
100000000000289,10005463.31746083
100000000000290,10005459.58469029
100000000000291,10005463.18596786
100000000000292,10005462.18862242
100000000000293,10005464.10242244
100000000000294,10005462.93588207
100000000000295,10005462.25052070
100000000000296,10005458.13990008
100000000000297,10005464.92411797
100000000000298,10005466.29727489
100000000000299,10005467.19829162
100000000000300,10005466.67806240
100000000000301,10005470.93639239
100000000000302,10005469.43501839
100000000000303,10005471.63878634
100000000000304,10005467.24103153
100000000000305,10005467.79802984
100000000000306,10005468.96747127
100000000000307,10005471.70855364
100000000000308,10005468.60808760
100000000000309,10005473.53106220
100000000000310,10005472.31229555
100000000000311,10005471.02235310
100000000000312,10005467.48602996
100000000000313,10005466.99960884
100000000000314,10005460.86198916
100000000000315,10005461.21357750
100000000000316,10005457.31048200
100000000000317,10005456.89394167
100000000000318,10005452.96892551
100000000000319,10005448.80239598
100000000000320,10005442.23653733
100000000000321,10005449.75442790
100000000000322,10005454.78000795
100000000000323,10005459.29501233
100000000000324,10005459.76016346
100000000000325,10005462.88804499
100000000000326,10005460.79928424
